adaptive,base,impostor_rate,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
GrowingWindow,greyc,0.3,Statistic,40,False,0.5,Random,0.8060947331955737,0.15582173254845125,0.3482026800162889,0.33479441419470807,0.039607853592563795,0.057699865722787944
GrowingWindow,greyc,0.3,Statistic,40,False,0.5,GenFirst,0.7939216215542254,0.15910486774249805,0.3692530230403214,0.34041810518778115,0.04290373385122784,0.05745404344637935
GrowingWindow,greyc,0.3,Statistic,40,False,0.5,ImpFirst,0.7894556796956231,0.1628440289179845,0.3852624699917039,0.34999972600637125,0.035826170617049936,0.056501801250434795
GrowingWindow,greyc,0.5,Statistic,40,False,0.5,Random,0.7769942855671335,0.1633325647413777,0.4095314043127759,0.35152144169673144,0.03648002455295727,0.05646927144827339
GrowingWindow,greyc,0.5,Statistic,40,False,0.5,GenFirst,0.765882371524749,0.16237001100916243,0.42533152309927424,0.3497105056147607,0.04290373385122784,0.05745404344637935
GrowingWindow,greyc,0.5,Statistic,40,False,0.5,ImpFirst,0.7581267069718678,0.16852017323313487,0.4532502464014072,0.35927959265354575,0.030496339654857006,0.05376746517827617
GrowingWindow,greyc,0.7,Statistic,40,False,0.5,Random,0.7475366330673233,0.1599519855873838,0.4741719120569573,0.3435806781001657,0.030754821808395914,0.05283994265790042
GrowingWindow,greyc,0.7,Statistic,40,False,0.5,GenFirst,0.7398690741849698,0.1559341420200791,0.4773581177788326,0.33813803237865553,0.04290373385122784,0.05745404344637935
GrowingWindow,greyc,0.7,Statistic,40,False,0.5,ImpFirst,0.7265448414544586,0.15830087818387137,0.5230697229562906,0.33256339408903657,0.023840594134792194,0.049161577667984444
SlidingWindow,greyc,0.3,Statistic,40,False,0.5,Random,0.8166900045355476,0.1502474724251757,0.32264655648536694,0.3206928930182654,0.04397343444353769,0.05589221759595042
SlidingWindow,greyc,0.3,Statistic,40,False,0.5,GenFirst,0.8613414829388466,0.14499159972948739,0.23042239820354737,0.30409424694542064,0.04689463591875935,0.05882955629106074
SlidingWindow,greyc,0.3,Statistic,40,False,0.5,ImpFirst,0.7912019766985824,0.1641743303555207,0.3652270044592625,0.33716430843871453,0.05236904214357252,0.06304859234486113
SlidingWindow,greyc,0.5,Statistic,40,False,0.5,Random,0.7946680964920187,0.15152964850318568,0.3654364870470178,0.31962844688003367,0.045227319968944676,0.05599408238998293
SlidingWindow,greyc,0.5,Statistic,40,False,0.5,GenFirst,0.8361247233246263,0.14126798090284062,0.28085591743198807,0.3022530291157299,0.04689463591875935,0.05882955629106074
SlidingWindow,greyc,0.5,Statistic,40,False,0.5,ImpFirst,0.7435869744895538,0.19586002659679408,0.4024792461217804,0.31666991694036944,0.11034680489911183,0.15547258516018303
SlidingWindow,greyc,0.7,Statistic,40,False,0.5,Random,0.7361126808970249,0.170707638053078,0.4427073601703986,0.3071702012824488,0.08506727803555166,0.09966629418047479
SlidingWindow,greyc,0.7,Statistic,40,False,0.5,GenFirst,0.8100193349143887,0.12232300620313405,0.33306669425246294,0.26755345560854316,0.04689463591875935,0.05882955629106074
SlidingWindow,greyc,0.7,Statistic,40,False,0.5,ImpFirst,0.6877266123065461,0.20930448105677754,0.429673135576963,0.25570935003448547,0.1948736398099451,0.2655649763326326
