adaptive,base,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
False,CMU,0.3,,M2005,40,False,0.0,Random,0.7095234330441375,0.189481058980528,0.26991963717969913,0.30838012574678936,0.3110334967320261,0.24308749173438018
False,CMU,0.3,,M2005,40,False,0.0,GenFirst,0.7172877334080894,0.19537731612335,0.2728782368875248,0.31371903141208635,0.2925462962962963,0.23449324950751335
False,CMU,0.3,,M2005,40,False,0.0,ImpFirst,0.7157910428924361,0.19659338451167424,0.29440375299508426,0.3244415433272118,0.2740141612200436,0.22769856421723722
False,CMU,0.3,,M2005,40,False,0.5,Random,0.7315683026267391,0.16556136379285422,0.23414280651122757,0.24521307659164412,0.3027205882352942,0.2392291897703787
False,CMU,0.3,,M2005,40,False,0.5,GenFirst,0.7248439363783791,0.16354015138919137,0.23660570022799127,0.25092328294646726,0.3137064270152506,0.24457867147779924
False,CMU,0.3,,M2005,40,False,0.5,ImpFirst,0.729807959068795,0.166101889870001,0.24080347184062356,0.244127484409997,0.2995806100217865,0.23344931351235676
False,CMU,0.3,,M2005,40,False,1.0,Random,0.7469782578103011,0.17666035529520677,0.19903368045782904,0.2794749423958243,0.3070098039215687,0.243675453430254
False,CMU,0.3,,M2005,40,False,1.0,GenFirst,0.746606218178393,0.17618140269042348,0.2110890342314491,0.28527721583172744,0.2956985294117647,0.2424691876216706
False,CMU,0.3,,M2005,40,False,1.0,ImpFirst,0.7490581325565845,0.17860640177592352,0.20875737323105742,0.2858613586715109,0.29312636165577344,0.23802515607550345
False,CMU,0.3,,M2005,40,True,0.0,Random,0.7149094903777565,0.19579778910800835,0.2707638079155107,0.31977153088919563,0.2994172113289761,0.24616236615018958
False,CMU,0.3,,M2005,40,True,0.0,GenFirst,0.7141686737826444,0.1918998252554891,0.26899244546303364,0.3131137564157124,0.30267020697167757,0.24644717867371518
False,CMU,0.3,,M2005,40,True,0.0,ImpFirst,0.7225711132406178,0.1985877897080358,0.27099611774534377,0.312586209898812,0.2838616557734205,0.23394052102501806
False,CMU,0.3,,M2005,40,True,0.5,Random,0.7300140730800561,0.16847513339721673,0.24044979501635846,0.24988459823451917,0.2995220588235294,0.24467672622796569
False,CMU,0.3,,M2005,40,True,0.5,GenFirst,0.7267629505284303,0.16749665420644042,0.2545732274834442,0.2641449361088325,0.291900871459695,0.23526541080530763
False,CMU,0.3,,M2005,40,True,0.5,ImpFirst,0.7283660721731542,0.16327345911826968,0.23737597112210113,0.24257685335646134,0.30589188453159044,0.23463240016063197
False,CMU,0.3,,M2005,40,True,1.0,Random,0.7455072209638773,0.17925384160142427,0.21343000251668978,0.29090380050395614,0.29555555555555557,0.2421194297538774
False,CMU,0.3,,M2005,40,True,1.0,GenFirst,0.7468131721721118,0.1766721859059325,0.20724103038344527,0.2870474502695936,0.29913262527233114,0.24292988965528223
False,CMU,0.3,,M2005,40,True,1.0,ImpFirst,0.7430902321720819,0.17643517771324646,0.20881545068851573,0.2869020744894127,0.30500408496732023,0.2448986367631412
False,CMU,0.5,,M2005,40,False,0.0,Random,0.7380010893246187,0.16789191194122222,0.22428513071895423,0.24704500721129863,0.2997126906318083,0.2340113773400105
False,CMU,0.5,,M2005,40,False,0.0,GenFirst,0.7382618464052287,0.16602657385621203,0.21554602396514158,0.2451051018824773,0.30793028322440086,0.24027064394138317
False,CMU,0.5,,M2005,40,False,0.0,ImpFirst,0.7366707516339868,0.17026140375275647,0.22234340958605664,0.25718091792440323,0.3043150871459695,0.24326335091944126
False,CMU,0.5,,M2005,40,False,0.5,Random,0.7336683006535949,0.1663092855600688,0.23585511982570806,0.2501494838321481,0.2968082788671024,0.2401385581066345
False,CMU,0.5,,M2005,40,False,0.5,GenFirst,0.735998774509804,0.16824327018583177,0.23061138344226578,0.2554929270787461,0.2973910675381264,0.2387628887477779
False,CMU,0.5,,M2005,40,False,0.5,ImpFirst,0.7369444444444445,0.1662813532344823,0.23858660130718953,0.25905231957468183,0.2875245098039216,0.23574464416673396
False,CMU,0.5,,M2005,40,False,1.0,Random,0.7511471949891068,0.17080636024328097,0.20124046840958607,0.25834843757807047,0.29646514161220044,0.23447782250104138
False,CMU,0.5,,M2005,40,False,1.0,GenFirst,0.7510668572984749,0.168120543566458,0.1950925925925926,0.2535931847441184,0.3027736928104575,0.23461926245737197
False,CMU,0.5,,M2005,40,False,1.0,ImpFirst,0.7537751906318082,0.16729940042398783,0.18631399782135077,0.2482871958540123,0.3061356209150327,0.2368025107073689
False,CMU,0.5,,M2005,40,True,0.0,Random,0.7383394607843139,0.1739945163479056,0.22824618736383442,0.2626425734139674,0.29507489106753815,0.24043967854818066
False,CMU,0.5,,M2005,40,True,0.0,GenFirst,0.7338044662309369,0.16765819706760485,0.22881263616557734,0.2494594787844479,0.30357843137254903,0.23606781864450058
False,CMU,0.5,,M2005,40,True,0.0,ImpFirst,0.7392170479302832,0.17230421532941534,0.22035811546840964,0.2571834194114142,0.301207788671024,0.2401425346092699
False,CMU,0.5,,M2005,40,True,0.5,Random,0.7352941176470589,0.16268520393308117,0.22847358387799566,0.24464930867718357,0.3009381808278867,0.23815681287772303
False,CMU,0.5,,M2005,40,True,0.5,GenFirst,0.7360062636165577,0.16781783130482872,0.22662037037037036,0.2516566181177589,0.3013671023965142,0.24309661242488753
False,CMU,0.5,,M2005,40,True,0.5,ImpFirst,0.7293075980392157,0.16606200823782238,0.23669662309368192,0.25791672725370623,0.30468818082788673,0.24910557588873755
False,CMU,0.5,,M2005,40,True,1.0,Random,0.7492422385620915,0.16726501011785155,0.19474264705882355,0.2559454641747019,0.3067728758169935,0.24434823859476834
False,CMU,0.5,,M2005,40,True,1.0,GenFirst,0.7479888344226578,0.1651525452281897,0.19489787581699342,0.25145254570433573,0.3091244553376906,0.23329378384186386
