adaptive,base,impostor_rate,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
False,easy,0.3,OCSVM,40,GrowingWindow,0.5,Random,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.3,OCSVM,40,GrowingWindow,0.5,GenFirst,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.3,OCSVM,40,GrowingWindow,0.5,ImpFirst,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.5,OCSVM,40,GrowingWindow,0.5,Random,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.5,OCSVM,40,GrowingWindow,0.5,GenFirst,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.5,OCSVM,40,GrowingWindow,0.5,ImpFirst,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.7,OCSVM,40,GrowingWindow,0.5,Random,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.7,OCSVM,40,GrowingWindow,0.5,GenFirst,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,easy,0.7,OCSVM,40,GrowingWindow,0.5,ImpFirst,0.8197621557524459,0.046628846711443336,0.0,0.0,0.360475688495108,0.0932576934228867
False,strong,0.3,OCSVM,40,GrowingWindow,0.5,Random,0.8215583341580365,0.045846214455160114,0.0,0.0,0.3568833316839269,0.09169242891032026
False,strong,0.3,OCSVM,40,GrowingWindow,0.5,GenFirst,0.8215583341580365,0.045846214455160114,0.0,0.0,0.3568833316839269,0.09169242891032026
False,strong,0.3,OCSVM,40,GrowingWindow,0.5,ImpFirst,0.8215583341580365,0.045846214455160114,0.0,0.0,0.3568833316839269,0.09169242891032026
False,strong,0.5,OCSVM,40,GrowingWindow,0.5,Random,0.8215583341580365,0.045846214455160114,0.0,0.0,0.3568833316839269,0.09169242891032026
False,strong,0.5,OCSVM,40,GrowingWindow,0.5,GenFirst,0.8215583341580365,0.045846214455160114,0.0,0.0,0.3568833316839269,0.09169242891032026
