adaptive,base,impostor_rate,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
Não adaptativo,logical,0.3,Hocquet,40,False,0.5,GenFirst,0.8196420431588004,0.17691370586853364,0.26730324074074074,0.27294548784521483,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.3,Hocquet,40,False,0.5,ImpFirst,0.8196420431588004,0.17691370586853364,0.26730324074074074,0.27294548784521483,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.5,Hocquet,40,False,0.5,Random,0.8209729049131221,0.17414491343068206,0.2646415172320969,0.2697361563877761,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.5,Hocquet,40,False,0.5,GenFirst,0.8209729049131221,0.17414491343068206,0.2646415172320969,0.2697361563877761,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.5,Hocquet,40,False,0.5,ImpFirst,0.8209729049131221,0.17414491343068206,0.2646415172320969,0.2697361563877761,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.7,Hocquet,40,False,0.5,Random,0.8205382415808158,0.16530624297054902,0.26551084389671,0.25118780070518004,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.7,Hocquet,40,False,0.5,GenFirst,0.8205382415808158,0.16530624297054902,0.26551084389671,0.25118780070518004,0.09341267294165843,0.25657302607294497
Não adaptativo,logical,0.7,Hocquet,40,False,0.5,ImpFirst,0.8205382415808158,0.16530624297054902,0.26551084389671,0.25118780070518004,0.09341267294165843,0.25657302607294497
Não adaptativo,CMU,0.3,Hocquet,40,False,0.5,Random,0.6863699141272671,0.17205128243381654,0.35039470333587985,0.3157474074653032,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.3,Hocquet,40,False,0.5,GenFirst,0.6863699141272671,0.17205128243381654,0.35039470333587985,0.3157474074653032,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.3,Hocquet,40,False,0.5,ImpFirst,0.6863699141272671,0.17205128243381654,0.35039470333587985,0.3157474074653032,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.5,Hocquet,40,False,0.5,Random,0.6929942810457517,0.16942347707866456,0.3371459694989106,0.31597275708461703,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.5,Hocquet,40,False,0.5,GenFirst,0.6929942810457517,0.16942347707866456,0.3371459694989106,0.31597275708461703,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.5,Hocquet,40,False,0.5,ImpFirst,0.6929942810457517,0.16942347707866456,0.3371459694989106,0.31597275708461703,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.7,Hocquet,40,False,0.5,Random,0.7057415862981399,0.15817436772128182,0.31165135899413393,0.2942312929637449,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.7,Hocquet,40,False,0.5,GenFirst,0.7057415862981399,0.15817436772128182,0.31165135899413393,0.2942312929637449,0.27686546840958604,0.22068101472487855
Não adaptativo,CMU,0.7,Hocquet,40,False,0.5,ImpFirst,0.7057415862981399,0.15817436772128182,0.31165135899413393,0.2942312929637449,0.27686546840958604,0.22068101472487855
Não adaptativo,greyc,0.3,Hocquet,40,False,0.5,Random,0.7950441926346616,0.16859450153943065,0.3442130946538841,0.361297556493053,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.3,Hocquet,40,False,0.5,GenFirst,0.7950441926346616,0.16859450153943065,0.3442130946538841,0.361297556493053,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.3,Hocquet,40,False,0.5,ImpFirst,0.7950441926346616,0.16859450153943065,0.3442130946538841,0.361297556493053,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.5,Hocquet,40,False,0.5,Random,0.7974462941407574,0.1578842891093061,0.3394088916416924,0.34067094744221443,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.5,Hocquet,40,False,0.5,GenFirst,0.7974462941407574,0.1578842891093061,0.3394088916416924,0.34067094744221443,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.5,Hocquet,40,False,0.5,ImpFirst,0.7974462941407574,0.1578842891093061,0.3394088916416924,0.34067094744221443,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.7,Hocquet,40,False,0.5,Random,0.7938821389129962,0.14432310915815427,0.3465372020972151,0.31549469492565085,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.7,Hocquet,40,False,0.5,GenFirst,0.7938821389129962,0.14432310915815427,0.3465372020972151,0.31549469492565085,0.06569852007679289,0.115992709001453
Não adaptativo,greyc,0.7,Hocquet,40,False,0.5,ImpFirst,0.7938821389129962,0.14432310915815427,0.3465372020972151,0.31549469492565085,0.06569852007679289,0.115992709001453
Growing Window,easy,0.3,Hocquet,40,False,0.5,Random,0.7465121953877193,0.1645686773056286,0.4649643562531634,0.3272485908659156,0.0420112529713979,0.1528631147510182
Growing Window,easy,0.3,Hocquet,40,False,0.5,GenFirst,0.7423485546227714,0.16646648240966674,0.4698965760546643,0.3270653694305568,0.04540631469979296,0.15594728744359518
Growing Window,easy,0.3,Hocquet,40,False,0.5,ImpFirst,0.7621801253683536,0.16505703575388242,0.4377180024647345,0.3309276658539333,0.037921746798558385,0.15225654615255785
Growing Window,easy,0.5,Hocquet,40,False,0.5,Random,0.7354733408771358,0.1653634519219963,0.4879238994894983,0.3342866334145313,0.04112941875623037,0.15441737964339775
Growing Window,easy,0.5,Hocquet,40,False,0.5,GenFirst,0.7318102686857455,0.1677471390999176,0.4909731479287162,0.3337320050407832,0.04540631469979296,0.15594728744359518
Growing Window,easy,0.5,Hocquet,40,False,0.5,ImpFirst,0.7420166294069803,0.16866036947472668,0.4785180217626823,0.3407217005595969,0.03744871942335711,0.14884325806197404
Growing Window,easy,0.7,Hocquet,40,False,0.5,Random,0.7204226835770269,0.1583333153471614,0.5200644557122911,0.3264580561966365,0.0390901771336554,0.15244444102056745
Growing Window,easy,0.7,Hocquet,40,False,0.5,GenFirst,0.7189500445335627,0.16068896774727565,0.5166935962330818,0.3245660139436373,0.04540631469979296,0.15594728744359518
Growing Window,easy,0.7,Hocquet,40,False,0.5,ImpFirst,0.7216894798056451,0.1617215507167719,0.5203268528264059,0.3321471714273566,0.036294187562303515,0.14882517225331834
Growing Window,strong,0.3,Hocquet,40,False,0.5,Random,0.7530091532695699,0.17537604952618308,0.4397394079685745,0.32741351853880896,0.054242285492285484,0.17692475301731062
Growing Window,strong,0.3,Hocquet,40,False,0.5,GenFirst,0.7489737724980781,0.17886265319551045,0.4452084502431724,0.3241831572420136,0.056844004760671425,0.1802756149351037
Growing Window,strong,0.3,Hocquet,40,False,0.5,ImpFirst,0.7570328045154434,0.17158089636732896,0.4365945332959221,0.3362736801913521,0.04933985767319101,0.16451615604902706
Growing Window,strong,0.5,Hocquet,40,False,0.5,Random,0.7697258148118656,0.17279679228726388,0.4118253341532327,0.3139677410603231,0.04872303622303623,0.15822471703963314
Growing Window,strong,0.5,Hocquet,40,False,0.5,GenFirst,0.7628872561617127,0.17672729246788085,0.4173814829159032,0.3041411917675261,0.056844004760671425,0.1802756149351037
Growing Window,strong,0.5,Hocquet,40,False,0.5,ImpFirst,0.7665892866526924,0.16383580556084712,0.42749986862305706,0.31904445940337345,0.03932155807155807,0.13910757607608645
Growing Window,strong,0.7,Hocquet,40,False,0.5,Random,0.7448873074217901,0.17176607658684945,0.4702971035614717,0.32478479564420243,0.03992828159494826,0.13169737383243912
Growing Window,strong,0.7,Hocquet,40,False,0.5,GenFirst,0.7384678488954779,0.18340275254212315,0.466220297448373,0.3129884404184164,0.056844004760671425,0.1802756149351037
Growing Window,strong,0.7,Hocquet,40,False,0.5,ImpFirst,0.7459046439254957,0.162637048331166,0.4827193470943102,0.33048245679411603,0.025471365054698398,0.0994142331988413
Growing Window,logical,0.3,Hocquet,40,False,0.5,Random,0.8089769823239026,0.182171431082198,0.2989583333333333,0.28871152141841705,0.08308770201886145,0.24776920912487316
Growing Window,logical,0.3,Hocquet,40,False,0.5,GenFirst,0.8139681781137095,0.17918934423067234,0.28708847736625515,0.2705847729866901,0.08497516640632584,0.2536860363647335
Growing Window,logical,0.3,Hocquet,40,False,0.5,ImpFirst,0.8149327260400631,0.18490229130324,0.2916087962962963,0.2971806437646362,0.07852575162357772,0.2427867407128865
Growing Window,logical,0.5,Hocquet,40,False,0.5,Random,0.790145847509978,0.1910045575456094,0.34465477557868857,0.3172454594671349,0.0750535294013555,0.22770580289842016
Growing Window,logical,0.5,Hocquet,40,False,0.5,GenFirst,0.7918822515380486,0.19311885692417172,0.3312603305175769,0.3002265339362309,0.08497516640632584,0.2536860363647335
Growing Window,logical,0.5,Hocquet,40,False,0.5,ImpFirst,0.799233619306083,0.17838768437757105,0.3411880571119702,0.32163559486711457,0.0603447042758637,0.20109353052624548
Growing Window,logical,0.7,Hocquet,40,False,0.5,Random,0.7635887946463041,0.17997011836253404,0.4138776182481066,0.3231779740504756,0.05894479245928521,0.19280565316719336
Growing Window,logical,0.7,Hocquet,40,False,0.5,GenFirst,0.7572133701573712,0.1984139090256294,0.4005980932789316,0.30906264459722754,0.08497516640632584,0.2536860363647335
Growing Window,logical,0.7,Hocquet,40,False,0.5,ImpFirst,0.7691666505308227,0.16731129506615108,0.42058668059384346,0.3251404577047385,0.0410800183445111,0.16996486643386766
Growing Window,CMU,0.3,Hocquet,40,False,0.5,Random,0.7255621693121693,0.17612857218966238,0.5252100840336135,0.3514927916851713,0.023665577342047925,0.028543981764365414
Growing Window,CMU,0.3,Hocquet,40,False,0.5,GenFirst,0.7451886689019043,0.16704758778829829,0.487904252610135,0.33360280234627365,0.02171840958605664,0.02844666423949618
Growing Window,CMU,0.3,Hocquet,40,False,0.5,ImpFirst,0.7042906303935716,0.18987154001131654,0.5548446651387827,0.3670479828102982,0.03657407407407407,0.053516619705329886
Growing Window,CMU,0.5,Hocquet,40,False,0.5,Random,0.6884327342047931,0.1829844638127981,0.5895288671023965,0.3566240292107438,0.033605664488017425,0.04506730926545024
Growing Window,CMU,0.5,Hocquet,40,False,0.5,GenFirst,0.7107911220043573,0.16816828117827815,0.5566993464052286,0.3373884945715268,0.02171840958605664,0.02844666423949618
Growing Window,CMU,0.5,Hocquet,40,False,0.5,ImpFirst,0.6542211328976034,0.20116807832840614,0.6124455337690632,0.3537322681761495,0.07911220043572986,0.12730133443714986
Growing Window,CMU,0.7,Hocquet,40,False,0.5,Random,0.6526262022819989,0.1748421043233988,0.6435357217976583,0.32298703801974943,0.05121187363834423,0.08190500961331641
Growing Window,CMU,0.7,Hocquet,40,False,0.5,GenFirst,0.6819853346914186,0.15601991908462548,0.6143109210311061,0.31515975910898225,0.02171840958605664,0.02844666423949618
Growing Window,CMU,0.7,Hocquet,40,False,0.5,ImpFirst,0.6264041770860111,0.1856636251728513,0.6458844562854941,0.3064710373774853,0.10130718954248366,0.15183493277587862
Growing Window,greyc,0.3,Hocquet,40,False,0.5,Random,0.7703608178768531,0.18408081065075405,0.4203336057217637,0.3886064345820202,0.038944758524530484,0.07641843666985661
Growing Window,greyc,0.3,Hocquet,40,False,0.5,GenFirst,0.7520836315835452,0.1885560817366549,0.4547643745143745,0.3965970975706816,0.041068362318535216,0.07763076886836882
Growing Window,greyc,0.3,Hocquet,40,False,0.5,ImpFirst,0.7898736033863477,0.18462605649462405,0.3829715211688896,0.39029227440466907,0.037281272058414895,0.07658902071492818
Growing Window,greyc,0.5,Hocquet,40,False,0.5,Random,0.7641320648176351,0.1769075782772881,0.4343201016200735,0.37609232439629803,0.03741576874465627,0.07439797186048118
Growing Window,greyc,0.5,Hocquet,40,False,0.5,GenFirst,0.7448044285579294,0.1795775008074329,0.469322780565606,0.3800147455022037,0.041068362318535216,0.07763076886836882
Growing Window,greyc,0.5,Hocquet,40,False,0.5,ImpFirst,0.7755660928882548,0.1810646070832812,0.4135369503515062,0.3834390877816025,0.03533086387198424,0.07512498453420502
Growing Window,greyc,0.7,Hocquet,40,False,0.5,Random,0.7429906234701327,0.17019358565399667,0.4783232355110996,0.3622629756004824,0.035695517548635,0.07204301182258961
Growing Window,greyc,0.7,Hocquet,40,False,0.5,GenFirst,0.7249603495308239,0.16845995792051055,0.509010938619817,0.3598020894654532,0.041068362318535216,0.07763076886836882
Growing Window,greyc,0.7,Hocquet,40,False,0.5,ImpFirst,0.7513708768052321,0.17255230537219265,0.467430363516056,0.3648269959961114,0.02982788287348028,0.07044237142648364
Não adaptativo,easy,0.3,OCSVM,40,False,0.5,Random,0.6447458084714623,0.1544668127719155,0.4075428165093198,0.4579748974667476,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.3,OCSVM,40,False,0.5,GenFirst,0.6447458084714623,0.1544668127719155,0.4075428165093198,0.4579748974667476,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.3,OCSVM,40,False,0.5,ImpFirst,0.6447458084714623,0.1544668127719155,0.4075428165093198,0.4579748974667476,0.3029655665477557,0.3032192603119776
Não adaptativo,easy,0.5,OCSVM,40,False,0.5,Random,0.6444124178749464,0.1549724417971835,0.4082095977023513,0.4550445947666283,0.3029655665477557,0.3032192603119776
