adaptive,base,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
False,CMU,0.3,,Manhattan,40,False,0.0,Random,0.5054123667010664,0.03961681885783532,0.01814585483316133,0.11809223321355816,0.971029411764706,0.14644034158916736
False,CMU,0.3,,Manhattan,40,False,0.0,GenFirst,0.5050768618851048,0.0435231755290051,0.021843825249398003,0.13703275487458103,0.9680024509803923,0.14353177807552622
False,CMU,0.3,,Manhattan,40,False,0.0,ImpFirst,0.5071459336658639,0.039714593878341836,0.015279211099644535,0.1205060754341126,0.9704289215686275,0.14339555568089643
False,CMU,0.3,,Manhattan,40,False,0.5,Random,0.5050702686045178,0.02770945093414635,0.015680541222336888,0.10859798058800127,0.9741789215686275,0.1352988924233818
False,CMU,0.3,,Manhattan,40,False,0.5,GenFirst,0.506282357241142,0.04076208731686444,0.013329893360853114,0.0898706800667321,0.9741053921568629,0.12480804838436053
False,CMU,0.3,,Manhattan,40,False,0.5,ImpFirst,0.506446795092306,0.033863302576493476,0.01249856667813324,0.09816811315604003,0.974607843137255,0.13275813972775982
False,CMU,0.3,,Manhattan,40,False,1.0,Random,0.503938230994152,0.029188140647207896,0.020983832129342964,0.13572715010542016,0.971139705882353,0.1445090364292746
False,CMU,0.3,,Manhattan,40,False,1.0,GenFirst,0.5047393145854833,0.023921384507750748,0.0173718610251118,0.1255847926715182,0.9731495098039216,0.14017531372603054
False,CMU,0.3,,Manhattan,40,False,1.0,ImpFirst,0.505163219527577,0.023237212456232767,0.023019149180139892,0.14537329795118578,0.9666544117647058,0.15543184443623534
False,CMU,0.3,,Manhattan,40,True,0.0,Random,0.5046824833734663,0.037856173657324764,0.0007453273707143676,0.010619280417043636,0.9898897058823529,0.07893411463274083
False,CMU,0.3,,Manhattan,40,True,0.0,GenFirst,0.5006869553376906,0.005374046816807822,0.0,0.0,0.9986260893246188,0.010748093633615641
False,CMU,0.3,,Manhattan,40,True,0.0,ImpFirst,0.5052236698773077,0.04152603483669504,0.010606581814012155,0.09870012151043672,0.9789460784313725,0.1288435726379531
False,CMU,0.3,,Manhattan,40,True,0.5,Random,0.505343782249742,0.03547492380074457,0.009287925696594427,0.08184207112223903,0.9800245098039216,0.1267171250913876
False,CMU,0.3,,Manhattan,40,True,0.5,GenFirst,0.5050244023047815,0.03810844962208189,0.009889920880632955,0.09852725406435531,0.980061274509804,0.12444618460636514
False,CMU,0.3,,Manhattan,40,True,0.5,ImpFirst,0.5065648649810801,0.04836201955772259,0.017715858273133815,0.12393743142634402,0.9691544117647058,0.16754441006276943
False,CMU,0.3,,Manhattan,40,True,1.0,Random,0.5022059898520812,0.0171321523126459,0.009717922256621946,0.09766777202071539,0.9858700980392158,0.10344055097622448
False,CMU,0.3,,Manhattan,40,True,1.0,GenFirst,0.5035852396514161,0.034701879827542144,0.004901960784313725,0.06984219043517159,0.9879275599128541,0.09810461050505755
False,CMU,0.3,,Manhattan,40,True,1.0,ImpFirst,0.5032096018231854,0.027916981599262373,0.005847953216374269,0.0710656187654906,0.987732843137255,0.0976684741003618
False,CMU,0.5,,Manhattan,40,False,0.0,Random,0.5062928921568627,0.040400564036638976,0.009436274509803921,0.08564769583478003,0.9779779411764705,0.11788832682519333
False,CMU,0.5,,Manhattan,40,False,0.0,GenFirst,0.5084926470588235,0.04107950439365565,0.008676470588235294,0.07274949117330391,0.9743382352941176,0.12348986149074531
False,CMU,0.5,,Manhattan,40,False,0.0,ImpFirst,0.5085049019607842,0.04517600358044292,0.010220588235294117,0.0843447952044781,0.9727696078431373,0.14159040920301624
False,CMU,0.5,,Manhattan,40,False,0.5,Random,0.5074816176470588,0.0398091106040954,0.008394607843137255,0.08122621775828787,0.9766421568627451,0.12472174672105849
False,CMU,0.5,,Manhattan,40,False,0.5,GenFirst,0.5056924019607842,0.032808024538709214,0.01594362745098039,0.1211972970504367,0.9726715686274511,0.14095884003429482
False,CMU,0.5,,Manhattan,40,False,0.5,ImpFirst,0.504736519607843,0.025261490341217392,0.018235294117647058,0.129920831962602,0.9722916666666668,0.14333962986340895
False,CMU,0.5,,Manhattan,40,False,1.0,Random,0.5061274509803921,0.028219481717502538,0.01463235294117647,0.11368056869309388,0.9731127450980391,0.12730253657313603
False,CMU,0.5,,Manhattan,40,False,1.0,GenFirst,0.5088480392156862,0.04478286607838471,0.010245098039215686,0.08550635640567725,0.9720588235294119,0.1414042025562773
False,CMU,0.5,,Manhattan,40,False,1.0,ImpFirst,0.5070098039215685,0.03898594237546053,0.01051470588235294,0.09547246949144998,0.9754656862745098,0.1290774820469777
False,CMU,0.5,,Manhattan,40,True,0.0,Random,0.5059375,0.04154125581197894,0.005367647058823529,0.0624361409632693,0.9827573529411764,0.11546247032597817
False,CMU,0.5,,Manhattan,40,True,0.0,GenFirst,0.5070404411764706,0.04869980970190173,0.007990196078431372,0.08033213774613193,0.9779289215686274,0.1354946225574072
False,CMU,0.5,,Manhattan,40,True,0.0,ImpFirst,0.5071629901960785,0.048975422411373364,0.0002573529411764706,0.0024805507873788555,0.9854166666666666,0.09888414401666476
False,CMU,0.5,,Manhattan,40,True,0.5,Random,0.5079003267973856,0.05004365338284085,0.009166666666666667,0.09215079376136528,0.9750326797385621,0.1383826847931243
False,CMU,0.5,,Manhattan,40,True,0.5,GenFirst,0.5061519607843137,0.038921067006694954,0.0008088235294117647,0.009123081081511795,0.9868872549019607,0.08473461763528392
False,CMU,0.5,,Manhattan,40,True,0.5,ImpFirst,0.504172794117647,0.03565064670283222,0.010870098039215686,0.09958742852186832,0.9807843137254901,0.1236711128991144
False,CMU,0.5,,Manhattan,40,True,1.0,Random,0.5039093137254902,0.034329480364229906,0.0050857843137254895,0.06985470736501238,0.9870955882352942,0.09841601839444006
False,CMU,0.5,,Manhattan,40,True,1.0,GenFirst,0.5043198529411765,0.03392255757211233,0.0067279411764705884,0.07256579674023816,0.9846323529411763,0.1013653101911593
False,CMU,0.5,,Manhattan,40,True,1.0,ImpFirst,0.5029656862745098,0.024525160630275024,0.014620098039215686,0.10951210443433841,0.9794485294117647,0.1373795231473392
False,CMU,0.7,,Manhattan,40,False,0.0,Random,0.5087115999936952,0.0480349027858312,0.009157682365550724,0.06888447790301704,0.9734191176470588,0.1362086673309896
False,CMU,0.7,,Manhattan,40,False,0.0,GenFirst,0.5100563982808793,0.05071496575333768,0.008774730671356597,0.0777744985143754,0.9711124727668847,0.14213987538085535
False,CMU,0.7,,Manhattan,40,False,0.0,ImpFirst,0.5105116357081119,0.049983396724666423,0.003562785228656472,0.03183790760733273,0.9754139433551199,0.1234567605341393
False,CMU,0.7,,Manhattan,40,False,0.5,Random,0.5046255162032659,0.021630833020758862,0.018677889162095705,0.1277450448337923,0.9720710784313726,0.14200669204340863
False,CMU,0.7,,Manhattan,40,False,0.5,GenFirst,0.508675327848181,0.04639546308521282,0.011301305087951581,0.09451701107718073,0.9713480392156865,0.13857806940380119
False,CMU,0.7,,Manhattan,40,False,0.5,ImpFirst,0.5082311106382531,0.04357980880265445,0.013623563037219174,0.10212343112752385,0.9699142156862746,0.1462749014961835
False,CMU,0.7,,Manhattan,40,False,1.0,Random,0.5068767206775528,0.0331744632890233,0.01487400962528634,0.11022570759866472,0.971372549019608,0.1432548494589363
False,CMU,0.7,,Manhattan,40,False,1.0,GenFirst,0.5060734203917365,0.030895113130356953,0.013355610196919068,0.10175233476996565,0.974497549019608,0.13637853262394106
False,CMU,0.7,,Manhattan,40,False,1.0,ImpFirst,0.5058495155832966,0.03525250034175972,0.012320576676544145,0.09302154425045807,0.9759803921568627,0.1294625754380852
False,CMU,0.7,,Manhattan,40,True,0.0,Random,0.5015641353004224,0.01010447199345506,0.010450160771704181,0.0988864864373653,0.9864215686274509,0.10135691511030047
False,CMU,0.7,,Manhattan,40,True,0.0,GenFirst,0.5077572150242734,0.05251144090626761,0.005674295441649328,0.06916576568974186,0.978811274509804,0.13000599503651533
False,CMU,0.7,,Manhattan,40,True,0.0,ImpFirst,0.5034251334510225,0.03287879097934369,0.005527184078347309,0.07036444749038993,0.9876225490196078,0.10114865870691701
False,CMU,0.7,,Manhattan,40,True,0.5,Random,0.5070709864867705,0.04817038110092772,0.015220772124498246,0.11475083975434852,0.9706372549019607,0.15916782912309432
False,CMU,0.7,,Manhattan,40,True,0.5,GenFirst,0.5058814728999853,0.04319049437185372,0.004928230670617658,0.06984078515286482,0.9833088235294118,0.11069945941287243
False,CMU,0.7,,Manhattan,40,True,0.5,ImpFirst,0.502321988682933,0.015629763022676733,0.006667297143937962,0.06938616548619951,0.988688725490196,0.0856654454804037
