adaptive,base,impostor_rate,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
False,easy,0.3,Statistic,40,False,0.5,Random,0.8045024962082865,0.1443399289178911,0.3515382121509572,0.2854816211412884,0.03945679543246968,0.1116817872577142
False,easy,0.3,Statistic,40,False,0.5,GenFirst,0.8045024962082865,0.1443399289178911,0.3515382121509572,0.2854816211412884,0.03945679543246968,0.1116817872577142
False,easy,0.3,Statistic,40,False,0.5,ImpFirst,0.8045024962082865,0.1443399289178911,0.3515382121509572,0.2854816211412884,0.03945679543246968,0.1116817872577142
False,easy,0.5,Statistic,40,False,0.5,Random,0.8064671865949459,0.13392367904405575,0.3476088313776384,0.2659651840490339,0.03945679543246968,0.1116817872577142
False,easy,0.5,Statistic,40,False,0.5,GenFirst,0.8064671865949459,0.13392367904405575,0.3476088313776384,0.2659651840490339,0.03945679543246968,0.1116817872577142
False,easy,0.5,Statistic,40,False,0.5,ImpFirst,0.8064671865949459,0.13392367904405575,0.3476088313776384,0.2659651840490339,0.03945679543246968,0.1116817872577142
False,easy,0.7,Statistic,40,False,0.5,Random,0.815455968858305,0.12875012588190313,0.32963126685092053,0.2561627637909376,0.03945679543246968,0.1116817872577142
False,easy,0.7,Statistic,40,False,0.5,GenFirst,0.815455968858305,0.12875012588190313,0.32963126685092053,0.2561627637909376,0.03945679543246968,0.1116817872577142
False,easy,0.7,Statistic,40,False,0.5,ImpFirst,0.815455968858305,0.12875012588190313,0.32963126685092053,0.2561627637909376,0.03945679543246968,0.1116817872577142
False,strong,0.3,Statistic,40,False,0.5,Random,0.8244704560678247,0.13957133860431462,0.3027024998321295,0.25921463639034076,0.048356588032220954,0.12630437061394661
False,strong,0.3,Statistic,40,False,0.5,GenFirst,0.8244704560678247,0.13957133860431462,0.3027024998321295,0.25921463639034076,0.048356588032220954,0.12630437061394661
