,adaptive,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
0,False,0.3,,Euclidian,40,False,0.0,Random,0.5968910760077556,0.19677565585944212,0.49481398088209233,0.3453806368418918,0.31140386710239654,0.23002540170566615
1,False,0.3,,Euclidian,40,False,0.0,GenFirst,0.6037177344356137,0.19269487379550324,0.4910530932202758,0.3420689889886872,0.30151143790849677,0.23391271365496755
2,False,0.3,,Euclidian,40,False,0.0,ImpFirst,0.6000888892239512,0.20092940005747237,0.4906582781969778,0.3420471299424956,0.3091639433551198,0.2404078192657549
3,False,0.3,,Euclidian,40,False,0.5,Random,0.6180226910673893,0.15451573120573966,0.4479592474948512,0.2787607410579797,0.3159953703703704,0.23597284300767277
4,False,0.3,,Euclidian,40,False,0.5,GenFirst,0.621542068182935,0.1550975023682666,0.46826662616136294,0.26410369432620295,0.28864923747276694,0.22761129450156106
5,False,0.3,,Euclidian,40,False,0.5,ImpFirst,0.6193309667700149,0.15358149472752358,0.46323212964079835,0.2666695541930182,0.29810593681917213,0.23615773784231217
6,False,0.3,,Euclidian,40,False,1.0,Random,0.6240719738852478,0.18016820026344765,0.45731493022514685,0.33602481404987694,0.2945411220043573,0.2192874154542196
7,False,0.3,,Euclidian,40,False,1.0,GenFirst,0.6197675663832785,0.18042689488613378,0.4558270676691729,0.343043116295933,0.3046377995642702,0.22872332599491307
8,False,0.3,,Euclidian,40,False,1.0,ImpFirst,0.6237826615893567,0.18243883687143284,0.4619376724639882,0.3316937194871824,0.29049700435729847,0.2212653161196052
9,False,0.3,,Euclidian,40,True,0.0,Random,0.5046323529411765,0.03260333695709961,0.0,0.0,0.9907352941176472,0.06520667391419922
10,False,0.3,,Euclidian,40,True,0.0,GenFirst,0.5015822440087147,0.00858567772409937,0.0,0.0,0.9968355119825707,0.01717135544819874
11,False,0.3,,Euclidian,40,True,0.0,ImpFirst,0.505229259832588,0.033412045477361235,0.006134617589725949,0.06666122208931768,0.983406862745098,0.09661697244618792
12,False,0.3,,Euclidian,40,True,0.5,Random,0.5086946379428965,0.052106910752969346,0.0001719986240110079,0.0020806383799591853,0.9824387254901961,0.10439703117418363
13,False,0.3,,Euclidian,40,True,0.5,GenFirst,0.5059843337919964,0.03704898020831969,0.007739938080495356,0.07783927536726512,0.980291394335512,0.11658896077418898
14,False,0.3,,Euclidian,40,True,0.5,ImpFirst,0.5077834393991514,0.04636651312245218,0.01181057218208921,0.10000694136926522,0.972622549019608,0.14551984967146053
15,False,0.3,,Euclidian,40,True,1.0,Random,0.5043994023047815,0.03266729616010953,0.00498796009631923,0.0698469025673365,0.9862132352941176,0.09554394005738794
16,False,0.3,,Euclidian,40,True,1.0,GenFirst,0.5050810185185185,0.038989348515013324,0.0,0.0,0.989837962962963,0.07797869703002665
17,False,0.3,,Euclidian,40,True,1.0,ImpFirst,0.5042417727324847,0.027493947552562265,0.002006650613461759,0.02551686525445381,0.9895098039215687,0.07553002196218807
18,False,0.5,,Euclidian,40,False,0.0,Random,0.6096541394335512,0.17892976216719056,0.4869553376906319,0.3387638823998097,0.29373638344226577,0.22046333169326537
19,False,0.5,,Euclidian,40,False,0.0,GenFirst,0.6095356753812635,0.18467142188826752,0.47941857298474944,0.32122897237398185,0.3015100762527233,0.2301953723234619
20,False,0.5,,Euclidian,40,False,0.0,ImpFirst,0.6032761437908497,0.18469733536810196,0.48314542483660133,0.3261063015816448,0.3103022875816993,0.2369291036997189
21,False,0.5,,Euclidian,40,False,0.5,Random,0.6150946350762527,0.15911471455194276,0.4702437363834422,0.28110564555487805,0.2995669934640523,0.2340038577133501
22,False,0.5,,Euclidian,40,False,0.5,GenFirst,0.6105637254901961,0.1639964409330608,0.4709409041394335,0.2716868459946973,0.3079316448801743,0.2340760274657829
23,False,0.5,,Euclidian,40,False,0.5,ImpFirst,0.6118130446623095,0.16051741300399386,0.46806508714596945,0.27091886027351203,0.3083088235294118,0.22939084269646642
24,False,0.5,,Euclidian,40,False,1.0,Random,0.628935866013072,0.1725508593524589,0.4433074618736384,0.3301318543927485,0.2988208061002179,0.22994442666716902
25,False,0.5,,Euclidian,40,False,1.0,GenFirst,0.6261546840958605,0.1734973483266789,0.43959422657952063,0.33705279971542557,0.3080964052287582,0.2328600293436912
26,False,0.5,,Euclidian,40,False,1.0,ImpFirst,0.6247474128540305,0.1816126942657479,0.4461696623093682,0.32915709238456486,0.3043355119825708,0.234079849158333
27,False,0.5,,Euclidian,40,True,0.0,Random,0.506078431372549,0.03544125698333816,0.00041666666666666664,0.005424202902195218,0.9874264705882353,0.07501221786295698
28,False,0.5,,Euclidian,40,True,0.0,GenFirst,0.5049877450980392,0.02924708543906765,0.0037622549019607843,0.053603881158994206,0.9862622549019607,0.08767646685407354
29,False,0.5,,Euclidian,40,True,0.0,ImpFirst,0.5042585784313726,0.02241152785559878,0.0002941176470588235,0.0031172770775656166,0.9911887254901961,0.046310862660248614
30,False,0.5,,Euclidian,40,True,0.5,Random,0.5058197167755991,0.027015514844598444,0.004044117647058824,0.04270788849741613,0.9843164488017428,0.08062125139830258
31,False,0.5,,Euclidian,40,True,0.5,GenFirst,0.5053376906318083,0.026103621001076827,0.00017156862745098037,0.0021224697716492407,0.9891530501089324,0.052627917290186794
32,False,0.5,,Euclidian,40,True,0.5,ImpFirst,0.5033210784313725,0.019303905853218593,0.009448529411764706,0.08726176839445536,0.9839093137254902,0.10493931655176986
33,False,0.5,,Euclidian,40,True,1.0,Random,0.5039889705882353,0.028030689386273087,0.005232843137254901,0.06996656028834941,0.9867892156862745,0.08987626124110289
34,False,0.5,,Euclidian,40,True,1.0,GenFirst,0.5061151960784314,0.03445830230163078,0.0011519607843137253,0.014554964993405051,0.9866176470588235,0.07223934470823659
35,False,0.5,,Euclidian,40,True,1.0,ImpFirst,0.5061458333333333,0.04293905130818252,0.006323529411764706,0.072455366486143,0.9813848039215686,0.11949680123071629
36,False,0.7,,Euclidian,40,False,0.0,Random,0.6481413848605058,0.14681244030919355,0.3968776333290976,0.26133642074601166,0.3068395969498911,0.22330503309536018
37,False,0.7,,Euclidian,40,False,0.0,GenFirst,0.6492631647730933,0.14143026350679144,0.41510929136884633,0.26865098435560036,0.2863643790849673,0.21599860206720053
38,False,0.7,,Euclidian,40,False,0.0,ImpFirst,0.6461849021154186,0.1467061527213353,0.39278814783887944,0.276202349333607,0.31484204793028325,0.245163438382054
39,False,0.7,,Euclidian,40,False,0.5,Random,0.6219573886908701,0.1531029253550749,0.4520914862348176,0.27579266601676844,0.3039937363834423,0.23312899057555098
40,False,0.7,,Euclidian,40,False,0.5,GenFirst,0.6229279614235914,0.1531148053188017,0.4549556239937756,0.27257738378925056,0.2991884531590414,0.2347302604825498
41,False,0.7,,Euclidian,40,False,0.5,ImpFirst,0.6145620216297539,0.1526542896606652,0.4650262835378778,0.26995128173207067,0.30584967320261436,0.22975711656542164
42,False,0.7,,Euclidian,40,False,1.0,Random,0.6348011741867885,0.14414966554652853,0.4416871396438522,0.2659011782450962,0.2887105119825708,0.2229161931641132
43,False,0.7,,Euclidian,40,False,1.0,GenFirst,0.6320287965066432,0.14960110734612006,0.4356428427165609,0.2765233528188263,0.3002995642701525,0.23092602754104738
44,False,0.7,,Euclidian,40,False,1.0,ImpFirst,0.6327506651885895,0.1443375711123596,0.42381239511301716,0.2753600357304872,0.31068627450980396,0.23351392503680912
45,False,0.7,,Euclidian,40,True,0.0,Random,0.5029095978780938,0.014343814430867768,0.009084126683899713,0.08730084045679003,0.9850966775599129,0.10203994618649975
46,False,0.7,,Euclidian,40,True,0.0,GenFirst,0.5073047096652166,0.04318399123058638,0.0004886198852531367,0.004950827540055844,0.9849019607843137,0.08955084105361728
47,False,0.7,,Euclidian,40,True,0.0,ImpFirst,0.5042914551940819,0.028344486366447645,0.002164638631444003,0.030171838049827142,0.9892524509803922,0.08047818937190954
48,False,0.7,,Euclidian,40,True,0.5,Random,0.5063857036651745,0.03491623342109214,0.009667318159847003,0.08445220626235904,0.977561274509804,0.12204232197593419
49,False,0.7,,Euclidian,40,True,0.5,GenFirst,0.504897869249522,0.025277354257508287,0.003304751697034655,0.045970782757495256,0.9868995098039215,0.08033768161949288
50,False,0.7,,Euclidian,40,True,0.5,ImpFirst,0.5028109435092364,0.015075268744555273,0.0038143874913309376,0.044743313323383126,0.990563725490196,0.06547938500498098
51,False,0.7,,Euclidian,40,True,1.0,Random,0.5069852941176471,0.04839982380387916,0.0049019607843137246,0.06939187975944701,0.981127450980392,0.11852061304697976
52,False,0.7,,Euclidian,40,True,1.0,GenFirst,0.5076214719542693,0.04312229672270538,0.0011296051110690792,0.014059559706405482,0.9836274509803922,0.09119483791383122
53,False,0.7,,Euclidian,40,True,1.0,ImpFirst,0.5054076889330222,0.0314079246190465,0.0061576613496416785,0.059844169140692904,0.9830269607843137,0.108615103437251
54,GrowingWindow,0.3,,Euclidian,40,False,0.0,Random,0.6203303169353866,0.15604458303635843,0.6316664358460025,0.3269035979921121,0.1276729302832244,0.0743022033539109
55,GrowingWindow,0.3,,Euclidian,40,False,0.0,GenFirst,0.6357430689580458,0.157983791430639,0.6001873370294423,0.32882916666379924,0.12832652505446623,0.07410503729935629
