adaptive,base,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
False,CMU,0.3,,OCSVM,40,True,0.5,GenFirst,0.48338998770693814,0.10586514446071928,0.48849507905235456,0.3914870567349883,0.544724945533769,0.42278223846537355
False,CMU,0.3,,OCSVM,40,True,0.5,ImpFirst,0.4917557783347257,0.10596761505633023,0.48072591609743315,0.390969138488182,0.5357625272331155,0.43085748371767935
False,CMU,0.3,,OCSVM,40,True,1.0,Random,0.4723220489019637,0.11919028627691193,0.48693406123746674,0.4262900987703987,0.5684218409586057,0.4236641205311033
False,CMU,0.3,,OCSVM,40,True,1.0,GenFirst,0.47365679498806434,0.11461378385825893,0.4322833599149388,0.4150124681164023,0.6204030501089325,0.418171943510708
False,CMU,0.3,,OCSVM,40,True,1.0,ImpFirst,0.47600410525720127,0.12361003066378332,0.4762761032110877,0.42238564009828194,0.5717156862745097,0.42399151981093663
False,CMU,0.5,,OCSVM,40,False,0.0,Random,0.47890114379084964,0.12660366188048508,0.47360838779956427,0.4116260529492282,0.5685893246187363,0.4273668567310752
False,CMU,0.5,,OCSVM,40,False,0.0,GenFirst,0.47779479847494555,0.12176666993703326,0.4722263071895425,0.41163067353391974,0.5721840958605665,0.42419503495416155
False,CMU,0.5,,OCSVM,40,False,0.0,ImpFirst,0.4837670206971677,0.12166997125475817,0.4590836056644879,0.4115588000073843,0.5733823529411765,0.4243427222930672
False,CMU,0.5,,OCSVM,40,False,0.5,Random,0.47640863289760343,0.11550992980215442,0.4555541938997821,0.3949964546016426,0.5916285403050109,0.4162238015712894
False,CMU,0.5,,OCSVM,40,False,0.5,GenFirst,0.47741489651416125,0.11216256247359944,0.4650054466230937,0.39348153737625274,0.5801647603485839,0.42707316805586404
False,CMU,0.5,,OCSVM,40,False,0.5,ImpFirst,0.48251361655773417,0.10936720112563392,0.4396092047930283,0.39844780385378714,0.5953635620915033,0.4259224460867652
False,CMU,0.5,,OCSVM,40,False,1.0,Random,0.47051606753812636,0.12159944879667857,0.44191312636165575,0.4313936859618563,0.6170547385620915,0.42527612210351884
False,CMU,0.5,,OCSVM,40,False,1.0,GenFirst,0.4659674564270152,0.12758117614454975,0.5254575163398693,0.4189376612222224,0.5426075708061002,0.42223241857477384
False,CMU,0.5,,OCSVM,40,False,1.0,ImpFirst,0.4695166122004358,0.1219098820728141,0.4795261437908497,0.4327901488960607,0.5814406318082789,0.4245867772891542
False,CMU,0.5,,OCSVM,40,True,0.0,Random,0.47587690631808277,0.13310963126890507,0.4753131808278867,0.41194078672802603,0.5729330065359477,0.42863029842092953
False,CMU,0.5,,OCSVM,40,True,0.0,GenFirst,0.47473788126361666,0.12781940747231957,0.44416530501089324,0.4107790352150065,0.6063589324618737,0.42600495514603937
False,CMU,0.5,,OCSVM,40,True,0.0,ImpFirst,0.48032543572984754,0.11971647216106496,0.4345969498910676,0.42182536770177653,0.6047521786492376,0.4308785147708554
False,CMU,0.5,,OCSVM,40,True,0.5,Random,0.4777927559912853,0.11360344430904162,0.4911791938997821,0.39429970348353427,0.5532352941176472,0.42648803632326465
False,CMU,0.5,,OCSVM,40,True,0.5,GenFirst,0.48049291938997823,0.11440530109870307,0.4604847494553377,0.4063456322578735,0.578529411764706,0.4296103531195415
False,CMU,0.5,,OCSVM,40,True,0.5,ImpFirst,0.4801756535947712,0.10927849890343397,0.483879357298475,0.4002192028089974,0.5557693355119825,0.4280590573962859
False,CMU,0.5,,OCSVM,40,True,1.0,Random,0.463458605664488,0.12006460532599243,0.5016966230936819,0.4210854767241859,0.5713861655773421,0.41891791064648
False,CMU,0.5,,OCSVM,40,True,1.0,GenFirst,0.46294594226579516,0.12670518280520005,0.47627723311546843,0.4290482466649845,0.5978308823529411,0.4268758651474508
False,CMU,0.5,,OCSVM,40,True,1.0,ImpFirst,0.47888071895424833,0.11135961338757745,0.5089678649237473,0.43913149539919083,0.533270697167756,0.42916583364427396
False,CMU,0.7,,OCSVM,40,False,0.0,Random,0.4630771486454161,0.11506030306989468,0.5476338290708235,0.4146098180246477,0.5262118736383441,0.4275113979229726
False,CMU,0.7,,OCSVM,40,False,0.0,GenFirst,0.46604500798329,0.10517224598373763,0.5027057356674067,0.42036967316997104,0.5652042483660131,0.4310043613246414
False,CMU,0.7,,OCSVM,40,False,0.0,ImpFirst,0.4609683316828497,0.1218250158784534,0.507672541427329,0.4172940400067334,0.5703907952069718,0.4291862948737446
False,CMU,0.7,,OCSVM,40,False,0.5,Random,0.4682402652996339,0.11351570524308423,0.511757486829926,0.4071367832443129,0.5517619825708061,0.43230896568374033
False,CMU,0.7,,OCSVM,40,False,0.5,GenFirst,0.469895564643642,0.11025299152455606,0.48291992735759615,0.4050580343394843,0.5772889433551198,0.4287405094278712
False,CMU,0.7,,OCSVM,40,False,0.5,ImpFirst,0.469331919100736,0.11304528117378439,0.4913075670272862,0.40036704921191335,0.5700285947712418,0.42427324267413286
False,CMU,0.7,,OCSVM,40,False,1.0,Random,0.4628068132871577,0.10895387365145158,0.48647243007056457,0.42015851908247415,0.5879139433551198,0.4259219387632444
False,CMU,0.7,,OCSVM,40,False,1.0,GenFirst,0.4546129764029791,0.11536424424312682,0.4985640798737803,0.4100198952359548,0.5922099673202614,0.4229551130710962
False,CMU,0.7,,OCSVM,40,False,1.0,ImpFirst,0.45594760152274655,0.11181359938529034,0.47376247669306876,0.40883738762033717,0.6143423202614379,0.42021029049302033
False,CMU,0.7,,OCSVM,40,True,0.0,Random,0.45917849180236775,0.11966830432756952,0.5130441601861143,0.4115585969112804,0.5685988562091504,0.42336569492072046
False,CMU,0.7,,OCSVM,40,True,0.0,GenFirst,0.455533713856759,0.1263055525356111,0.5200137269705778,0.4145260580384745,0.5689188453159041,0.42608283922903273
False,CMU,0.7,,OCSVM,40,True,0.0,ImpFirst,0.4485036601815888,0.1257120657390773,0.5438001415104606,0.41518311678241326,0.5591925381263617,0.4265339321117071
False,CMU,0.7,,OCSVM,40,True,0.5,Random,0.47155195480893225,0.1136770945658074,0.4782359596631814,0.404124698498192,0.5786601307189543,0.4231740082314655
False,CMU,0.7,,OCSVM,40,True,0.5,GenFirst,0.47354763999732774,0.11103493938706166,0.4671530860184164,0.4124737555693347,0.5857516339869281,0.4244276953705401
False,CMU,0.7,,OCSVM,40,True,0.5,ImpFirst,0.46779512881850493,0.11681279197268207,0.5060518992257353,0.4109423111446724,0.5583578431372549,0.4264043735220672
False,CMU,0.7,,OCSVM,40,True,1.0,Random,0.45308130358227067,0.11355694190907527,0.5257164778027791,0.40796262191871646,0.5681209150326798,0.4246854963176927
False,CMU,0.7,,OCSVM,40,True,1.0,GenFirst,0.45261697496877895,0.10726139348860368,0.5255272156397841,0.4169288056018298,0.569238834422658,0.4227741156193076
False,CMU,0.7,,OCSVM,40,True,1.0,ImpFirst,0.46245369888181753,0.10649712850438951,0.46035948676795524,0.4191020143830432,0.6147331154684096,0.42149773983123334
GrowingWindow,CMU,0.3,,OCSVM,40,False,0.0,Random,0.4604473532501783,0.15559812260032713,0.2922956529767675,0.32350318113226034,0.786809640522876,0.25514532865807354
GrowingWindow,CMU,0.3,,OCSVM,40,False,0.0,GenFirst,0.4722553868703249,0.11500431025220892,0.25780676438571176,0.31553656351423914,0.7976824618736383,0.25145204220971473
GrowingWindow,CMU,0.3,,OCSVM,40,False,0.0,ImpFirst,0.39763908899551315,0.14121730893074663,0.4398280311593005,0.404961172644274,0.7648937908496733,0.2716226850893135
GrowingWindow,CMU,0.3,,OCSVM,40,False,0.5,Random,0.44072984516773217,0.11811591939169887,0.35888480857521105,0.32663064458403973,0.7596555010893247,0.26041649399441785
GrowingWindow,CMU,0.3,,OCSVM,40,False,0.5,GenFirst,0.44982167707593407,0.10460314953628892,0.317717756959243,0.33757517393755365,0.7826388888888889,0.26026204124064656
GrowingWindow,CMU,0.3,,OCSVM,40,False,0.5,ImpFirst,0.3923075006850162,0.11784449900741246,0.4560889746648261,0.3895502805835076,0.7592960239651417,0.26839046376544534
GrowingWindow,CMU,0.3,,OCSVM,40,False,1.0,Random,0.4247352058845867,0.15481577221272227,0.3911777363789748,0.3696848318750345,0.7593518518518518,0.2684674900803619
GrowingWindow,CMU,0.3,,OCSVM,40,False,1.0,GenFirst,0.43194198545978735,0.14503576892739953,0.3727336761392489,0.36992405520379923,0.7633823529411765,0.2620175648624047
GrowingWindow,CMU,0.3,,OCSVM,40,False,1.0,ImpFirst,0.3606111521562373,0.14319536032478766,0.5273438721581136,0.4201131525479704,0.7514338235294119,0.2580111914167172
GrowingWindow,CMU,0.3,,OCSVM,40,True,0.0,Random,0.45574508491594407,0.15768565566360734,0.3348837408434932,0.3483061806336048,0.7536260893246187,0.27570659371801254
GrowingWindow,CMU,0.3,,OCSVM,40,True,0.0,GenFirst,0.46023986083003104,0.12428972475495095,0.3068487097124868,0.3485685122248631,0.7726715686274511,0.2677683873979456
GrowingWindow,CMU,0.3,,OCSVM,40,True,0.0,ImpFirst,0.3969020148596387,0.14239629054824757,0.43033404217614735,0.40567212605992387,0.7758619281045753,0.25777059438461536
GrowingWindow,CMU,0.3,,OCSVM,40,True,0.5,Random,0.4475855488394187,0.1092231135521432,0.32780275853031265,0.3343721177898738,0.7770261437908498,0.2620887563422624
GrowingWindow,CMU,0.3,,OCSVM,40,True,0.5,GenFirst,0.4506725062433266,0.10098383132436504,0.3578407173608412,0.3499835416010451,0.7408142701525056,0.2795011348997669
GrowingWindow,CMU,0.3,,OCSVM,40,True,0.5,ImpFirst,0.3965355009627456,0.12197497801768437,0.434478017682352,0.3893422964871431,0.7724509803921569,0.2612860539884262
GrowingWindow,CMU,0.3,,OCSVM,40,True,1.0,Random,0.4425518941627688,0.13643721206723436,0.36557023128230554,0.3642489406983596,0.7493259803921569,0.27860318671642764
GrowingWindow,CMU,0.3,,OCSVM,40,True,1.0,GenFirst,0.45431302232482573,0.13412124615938933,0.31359481591679733,0.36530606355652645,0.7777791394335511,0.2660291639098137
GrowingWindow,CMU,0.3,,OCSVM,40,True,1.0,ImpFirst,0.3774648435929396,0.14177580051585828,0.49089002958972,0.4281445839429147,0.7541802832244008,0.26894289077820527
GrowingWindow,CMU,0.5,,OCSVM,40,False,0.0,Random,0.4350721677559912,0.153097428441215,0.3786424291938998,0.35112667738229275,0.7512132352941177,0.2779149738984638
GrowingWindow,CMU,0.5,,OCSVM,40,False,0.0,GenFirst,0.4546915849673202,0.14019389528678927,0.3359613289760349,0.3373360115856175,0.7546555010893247,0.26748470690327947
GrowingWindow,CMU,0.5,,OCSVM,40,False,0.0,ImpFirst,0.38450844226579517,0.13984286031403237,0.47975354030501094,0.42344518358548905,0.7512295751633987,0.27674307009060706
GrowingWindow,CMU,0.5,,OCSVM,40,False,0.5,Random,0.43354370915032675,0.13361014399084853,0.36331427015250545,0.32670991202893673,0.7695983115468409,0.2657807061803221
GrowingWindow,CMU,0.5,,OCSVM,40,False,0.5,GenFirst,0.44931304466230937,0.1155138466684096,0.32564133986928095,0.3176558537880584,0.7757325708061004,0.2567784139112676
GrowingWindow,CMU,0.5,,OCSVM,40,False,0.5,ImpFirst,0.38744689542483657,0.12890659293102666,0.446000816993464,0.39608324815140644,0.7791053921568627,0.2580617035072965
GrowingWindow,CMU,0.5,,OCSVM,40,False,1.0,Random,0.4230242374727669,0.15245582462208984,0.39696759259259257,0.37803324394388765,0.7569839324618736,0.2657571243783225
GrowingWindow,CMU,0.5,,OCSVM,40,False,1.0,GenFirst,0.45516748366013077,0.1453016950477701,0.31819444444444445,0.3597025838760843,0.7714705882352942,0.27154443289618163
GrowingWindow,CMU,0.5,,OCSVM,40,False,1.0,ImpFirst,0.36026143790849674,0.14772876513559974,0.5261928104575163,0.4283621665952134,0.7532843137254903,0.2762134503352392
